Aa (architect)	Aa
Wolfgang Abraham	Wolfgang Abraham
Yehoshua Neuwirth	Yehoshua Neuwirth
Yoshi Tatsu	Yoshi Tatsu
Yuasa Yoshiko	Yuasa
A. A. Milne	A. A. Milne
A. E. Housman	A. E. Housman
A. E. van Vogt	A. E. van Vogt
A. J. Ayer	A. J. Ayer
Aage Bohr	Aage Bohr
Aage Bohr	Aage Niels Bohr
Aaliyah	Aaliyah
Aaron	Aaron
Abbas II of Egypt	Abbas II of Egypt
Abbas Mirza	Abbas Mirza
Abd-ar-Rahman III	Abd-ar-Rahman III
Abd al-Rahman I	Abd al-Rahman I
Abd ar-Rahman II	Abd ar-Rahman II
Abd ar-Rahman V	Abd ar-Rahman V
Abdul Hamid I	Abdul Hamid I
Abdul Rashid Dostum	Abdul Rashid Dostum
Abdulaziz al-Omari	Abdulaziz al-Omari
Abdur Rahman Khan	Abdur Rahman Khan
Abdülaziz of the Ottoman Empire	Abdülaziz
Abel Tasman	Abel Tasman
Abner Doubleday	Doubleday
Abraham	Abraham the Jew
Abraham Lincoln	Abraham Lincoln
Absalon	Absalom
Abu Bakr	Abu Bakr
Abu al-Faraj al-Isfahani	Al-Isfahani
Ada Lovelace	Ada Lovelace
Adalbert of Prague	Adalbert of Prague
Adam Carolla	Adam Carolla
Adam Smith	Adam
Adam Weishaupt	Adam
Adelaide of Italy	Adelaide of Italy
Adin Steinsaltz	Adin Steinsaltz
Adolphe Sax	Adolphe Sax
Adrian Lamo	Adrian Lamo
Aeschylus	Aeschylus
Afonso III of Portugal	Afonso III of Portugal
Afonso II of Portugal	Afonso II of Portugal
Afonso IV of Portugal	Afonso IV of Portugal
Afonso I of Portugal	Afonso of Portugal
Afonso VI of Portugal	Afonso of Portugal
Afonso V of Portugal	Afonso of Portugal
Afonso de Albuquerque	Afonso de Albuquerque
Aga Khan I	Aga Khan
Aga Khan III	Aga Khan
Agatha Christie	Christie
Agatha Christie	Agatha Christie Ltd.
Agner Krarup Erlang	Agner Krarup Erlang
Agnes of Merania	Agnes of Merania
Agnes of Rome	Agnes of Rome
Agrippina the Elder	Agrippina the Elder
Agrippina the Younger	Agrippina the Younger
Ahab	Ahab
Ahmad Shah Durrani	Abdali
Ahmad Shah Massoud	Ahmad Shah
Ahmed I	Ahmed I
Ahmed II	Ahmad II
Ahmed III	Ahmed III
Ahmed al-Haznawi	Ahmed al-Haznawi
Ahmed al-Nami	Ahmed al-Nami
Ahuitzotl	Ahuitzotl
Aimery of Cyprus	Amalric II of Jerusalem
Akio Morita	Akio Morita
Akira Kurosawa	Akira Kurosawa
Akira Toriyama	Akira Toriyama
Akira Toriyama	Wonder Island
Akira Toriyama	Toccio the Angel
Akira Toriyama	Pola & Roid
Al Capone	Al Capone
Al Capone	Mae Capone
Al Capp	Al Capp
Alain Connes	Alain Connes
Alan Ayckbourn	Alan Ayckbourn
Alan Ayckbourn	Virtual Reality (play)
Alan Garner	Alan Garner
Alan Jay Lerner	Alan Jay Lerner
Alan Kay	Alan Kay
Alan Turing	Ture
Alaric I	Alaric I
Albert, Duke of Prussia	Albrecht of Brandenburg
Albert Alcibiades, Margrave of Brandenburg-Kulmbach	Albert Alcibiades, Margrave of Brandenburg-Kulmbach
Albert Brooks	Albert Brooks
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
